Procedure;Specialty;Immediate / Intraoperative Complications;Early Post-Operative Complications;Late Post-Operative Complications
arthroscopy;Orthopedic Surgery;;"Joint Swelling (Fluid buildup in the joint after surgery); Stiffness (Limited joint movement); Pain (Joint discomfort after procedure); Nerve Irritation (Temporary nerve irritation); Blood Clot (Clot in deep vein); Joint Infection (Infection in the joint space); Instrument Breakage (Surgical instrument breaks inside joint)";
lobectomy;Thoracic Surgery;"Shortness of Breath (Difficulty breathing during recovery)";"Air Leak (Air leaking from the lung after surgery); Chest Pain (Pain in the chest area after surgery); Wound Infection (Infection at the surgical incision site); Pneumonia (Lung infection after surgery); Bronchopleural Fistula (Abnormal connection between airway and chest cavity); Respiratory Failure (Lungs cannot provide enough oxygen to the body)";
craniotomy;Neurosurgery;;"Headache (Pain in the head after brain surgery); Nausea (Feeling sick after anesthesia); Temporary Confusion (Brief period of mental confusion after surgery); Wound Infection (Infection at the skull incision site); Seizures (Abnormal electrical activity in the brain); Brain Swelling (Swelling of brain tissue increasing pressure); Brain Fluid Leak (Leak of cerebrospinal fluid); Stroke (Interrupted blood flow to part of the brain)";
thyroidectomy;Endocrine Surgery;"Bleeding (Significant bleeding in the neck area)";"Hoarseness (Temporary voice changes after surgery); Neck Pain (Pain at the surgical site in the neck); Calcium Changes (Temporary changes in blood calcium levels); Wound Infection (Infection at the neck incision site); Hypoparathyroidism (Low parathyroid hormone affecting calcium)";"Permanent Voice Damage (Permanent injury to the voice box nerves)"
parathyroidectomy;Endocrine Surgery;"Bleeding (Significant bleeding in the neck area)";"Neck Pain (Pain at the surgical site in the neck); Hoarseness (Temporary voice changes after surgery); Low Calcium (Temporary drop in blood calcium levels); Wound Infection (Infection at the neck incision site); Nerve Damage (Injury to nerves controlling the voice box)";"Persistent Hypocalcemia (Long-term low calcium requiring treatment)"
adrenalectomy;Endocrine Surgery;"Fatigue (Tiredness during recovery); Bleeding (Significant internal bleeding)";"Abdominal Pain (Pain in the belly area after surgery); Nausea (Feeling sick after anesthesia); Wound Infection (Infection at the abdominal incision site); Injury to Nearby Organs (Accidental damage to kidney, liver, or spleen); Hormone Imbalance (Changes in hormone levels after gland removal)";
lumpectomy;Breast Surgery;;"Breast Pain (Pain at the surgical site in the breast); Bruising (Bruising and swelling of the breast); Numbness (Temporary numbness in the breast area); Wound Infection (Infection at the breast incision site); Seroma (Fluid collection under the skin); Asymmetry (Difference in breast appearance after surgery); Lymphedema (Swelling in the arm due to lymph node removal)";
pneumonectomy;Thoracic Surgery;;"Shortness of Breath (Difficulty breathing after lung removal); Chest Pain (Pain in the chest area after surgery); Fatigue (Tiredness due to reduced lung capacity); Wound Infection (Infection at the chest incision site); Atrial Fibrillation (Irregular heart rhythm after surgery); Bronchopleural Fistula (Abnormal connection between airway and chest cavity); Respiratory Failure (Lungs cannot provide enough oxygen to the body); Empyema (Infection in the space around the lung)";
gastrectomy;General Surgery & Gastrointestinal;"Internal Bleeding (Significant bleeding inside the abdomen)";"Abdominal Pain (Pain in the belly area after stomach surgery); Nausea (Feeling sick after anesthesia); Dumping Syndrome (Rapid emptying of stomach contents causing symptoms); Wound Infection (Infection at the abdominal incision site); Leakage (Leakage from where stomach was reconnected); Vitamin Deficiency (Poor absorption of vitamins after stomach removal)";
esophagectomy;Thoracic Surgery;"Difficulty Swallowing (Trouble swallowing during recovery)";"Chest Pain (Pain in the chest area after surgery); Reflux (Stomach acid backing up into the esophagus); Wound Infection (Infection at the surgical incision site); Leakage (Leakage from where esophagus was reconnected); Stricture (Narrowing of the esophagus causing swallowing difficulty); Chylothorax (Leakage of lymph fluid into chest cavity)";
colectomy;General Surgery & Gastrointestinal;;"Abdominal Pain (Pain in the belly area after colon surgery); Bowel Changes (Changes in bowel habits after surgery); Gas and Bloating (Temporary gas and bloating); Wound Infection (Infection at the abdominal incision site); Anastomotic Leak (Leakage from where bowel was reconnected); Bowel Obstruction (Blockage of the intestines); Injury to Nearby Organs (Accidental damage to bladder or ureters)";
hepatectomy;Hepatobiliary Surgery;"Fatigue (Tiredness during recovery); Bleeding (Significant bleeding from liver vessels)";"Abdominal Pain (Pain in the belly area after liver surgery); Jaundice (Yellowing of skin and eyes); Wound Infection (Infection at the abdominal incision site); Bile Leak (Leakage of bile from the liver); Liver Failure (Remaining liver cannot function properly)";
pancreatectomy;Hepatobiliary Surgery;"Internal Bleeding (Significant bleeding inside the abdomen)";"Abdominal Pain (Pain in the belly area after pancreas surgery); Digestive Problems (Difficulty digesting food without pancreas enzymes); Diabetes (High blood sugar if pancreas cannot produce insulin); Wound Infection (Infection at the abdominal incision site); Pancreatic Leak (Leakage of pancreatic fluids); Diabetic Complications (Severe diabetes requiring insulin)";
splenectomy;General Surgery;"Bleeding (Significant bleeding from splenic vessels)";"Abdominal Pain (Pain in the belly area after spleen removal); Increased Infection Risk (Higher risk of certain infections without spleen); Wound Infection (Infection at the abdominal incision site); Injury to Nearby Organs (Accidental damage to stomach, pancreas, or colon); Overwhelming Post-Splenectomy Infection (Severe infection that can be life-threatening)";"Thrombocytosis (High platelet count after spleen removal)"
nephrectomy;Urology;"Fatigue (Tiredness during recovery); Bleeding (Significant bleeding from kidney vessels)";"Flank Pain (Pain in the side or back after kidney removal); Reduced Kidney Function (Temporary decrease in kidney function); Wound Infection (Infection at the abdominal incision site); Injury to Nearby Organs (Accidental damage to liver, spleen, or pancreas); Chronic Kidney Disease (Long-term reduced kidney function)";
prostatectomy;Urology;"Rectal Injury (Damage to the rectum during surgery)";"Urinary Incontinence (Leakage of urine after prostate removal); Erectile Dysfunction (Difficulty achieving erection after surgery); Pelvic Pain (Pain in the pelvic area after surgery); Wound Infection (Infection at the surgical incision site); Bladder Neck Contracture (Narrowing of the bladder neck); Severe Incontinence (Permanent inability to control urine)";
salpingectomy;Gynecology;"Vaginal Bleeding (Light bleeding after surgery); Shoulder Pain (Referred pain from gas used during surgery); Internal Bleeding (Significant bleeding from fallopian tube vessels)";"Pelvic Pain (Pain in the pelvic area after tube removal); Wound Infection (Infection at the surgical incision site); Injury to Nearby Organs (Accidental damage to uterus or ovaries); Ectopic Pregnancy Risk (Increased risk if one tube remains)";
oophorectomy;Gynecology;;"Pelvic Pain (Pain in the pelvic area after ovary removal); Hormonal Changes (Changes in hormone levels after ovary removal); Hot Flashes (Sudden feelings of heat if menopause induced); Wound Infection (Infection at the surgical incision site); Injury to Nearby Organs (Accidental damage to uterus or fallopian tubes); Early Menopause (Immediate onset of menopause symptoms); Osteoporosis Risk (Increased risk of bone loss without estrogen)";
laminectomy;Neurosurgery;"Muscle Spasms (Back muscle tightness during recovery)";"Back Pain (Pain at the surgical site on the back); Temporary Numbness (Numbness in the back or legs); Wound Infection (Infection at the back incision site); Spinal Instability (Spine becomes less stable after bone removal); Nerve Damage (Permanent injury to spinal nerves); Spinal Fluid Leak (Leak of fluid surrounding the spinal cord)";
discectomy;Neurosurgery;"Leg Pain (Pain radiating down the leg during recovery)";"Back Pain (Pain at the surgical site on the back); Numbness (Temporary numbness in the leg or foot); Wound Infection (Infection at the back incision site); Nerve Damage (Permanent injury to spinal nerves); Dural Tear (Tear in the spinal sac causing fluid leak)";"Recurrent Disc Herniation (Disc material returns to the same location)"
arthroplasty;Orthopedic Surgery;;"Joint Pain (Pain at the surgical joint site); Stiffness (Limited joint movement after surgery); Swelling (Swelling around the joint); Wound Infection (Infection at the joint incision site); Joint Infection (Infection around the artificial joint); Implant Failure (Artificial joint fails and needs replacement)";"Implant Loosening (Artificial joint becomes loose over time)"
endarterectomy;Vascular Surgery;"Stroke (Stroke during or after surgery); Major Bleeding (Significant bleeding from the carotid artery)";"Neck Pain (Pain at the surgical site in the neck); Headache (Headache after carotid artery surgery); Nerve Injury (Temporary nerve injury affecting voice or tongue); Wound Infection (Infection at the neck incision site); Carotid Restenosis (Narrowing returns to the artery)";
pericardiectomy;Cardiac Surgery;"Fatigue (Tiredness during recovery); Bleeding (Bleeding around the heart)";"Chest Pain (Pain in the chest after heart sac surgery); Arrhythmias (Irregular heart rhythms after surgery); Wound Infection (Infection at the chest incision site); Heart Damage (Accidental damage to heart muscle); Low Cardiac Output (Heart cannot pump enough blood)";
thrombectomy;Vascular Surgery;"Bleeding (Bleeding at the catheter insertion site); Vessel Damage (Damage to the blood vessel during procedure); Embolization (Clot breaks off and travels to other areas); Major Bleeding (Significant internal bleeding)";"Pain (Pain at the catheter insertion site); Bruising (Bruising around the insertion site); Wound Infection (Infection at the catheter insertion site)";
embolectomy;Vascular Surgery;"Bleeding (Bleeding at the surgical site)";"Pain (Pain at the surgical site); Swelling (Swelling in the affected limb); Wound Infection (Infection at the surgical incision site); Nerve Damage (Injury to nerves near the clot removal site); Compartment Syndrome (Increased pressure in the muscle compartment); Amputation Risk (Risk of limb amputation if circulation fails)";
gingivectomy;Dental Surgery;"Minor Bleeding (Slight bleeding from the gums after procedure); Severe Bleeding / Hemorrhage (Excessive bleeding from gum tissue that requires intervention)";"Gum Soreness (Mild tenderness and discomfort in the gum tissue); Sensitivity (Temporary sensitivity to hot or cold foods); Swelling (Mild swelling of the gums); Infection (Localized gum infection that may need antibiotics); Oral Nerve Damage (Injury to local nerves causing prolonged numbness in the gums or lower lip); Severe Gum/Bone Infection (Deep tissue infection or abscess near the surgical site); Delayed Tissue Healing / Necrosis (Poor healing of the gum tissue exposing underlying bone)";
frenectomy;Dental Surgery;"Minor Bleeding (Slight bleeding from the procedure site); Excessive Bleeding (Significant bleeding requiring intervention)";"Tongue/Lip Soreness (Mild discomfort at the frenum release site); Swelling (Mild swelling of the tongue or lip); Difficulty Moving Tongue/Lip (Temporary limitation of movement); Infection (Localized infection at the procedure site); Oral Nerve Damage (Injury to nerves causing numbness in tongue or lip); Scarring (Excessive scar tissue restricting movement)";
gingivoplasty;Dental Surgery;"Minor Bleeding (Slight bleeding from the gums); Severe Bleeding (Excessive bleeding requiring intervention)";"Gum Soreness (Mild tenderness after gum reshaping); Sensitivity (Temporary sensitivity to temperature changes); Swelling (Mild swelling of the treated gums); Asymmetry (Uneven gum contour after healing); Oral Nerve Damage (Nerve injury causing prolonged numbness); Tissue Necrosis (Poor healing of gum tissue)";
tooth extraction;General Surgery;"Bleeding (Normal bleeding from the extraction socket); Severe Bleeding (Excessive bleeding that requires medical attention); Jaw Fracture (Rare fracture of the jawbone during extraction)";"Pain (Pain at the extraction site); Swelling (Swelling of the cheek or jaw area); Dry Socket (Painful condition when blood clot dislodges); Infection (Infection in the extraction socket); Nerve Damage (Injury to nerves causing numbness in lip or tongue)";
extraction;Dental Surgery;"Bleeding (Normal bleeding from the extraction site); Severe Bleeding (Excessive bleeding requiring intervention)";"Pain (Pain at the extraction site); Swelling (Swelling of the affected area); Dry Socket (Painful condition when blood clot dislodges); Infection (Infection at the extraction site); Nerve Damage (Injury to nerves causing numbness)";
Laparoscopic Appendectomy;General Surgery & Gastrointestinal;"Intraoperative hemorrhage (mesoappendix vessel injury); Accidental cecal or ileal serosal injury / bowel perforation; Anesthetic complications (airway compromise, anaphylaxis); Trocar site / abdominal wall vessel bleeding; Visceral or vascular injury during trocar insertion (Blood vessel complications)";"Postoperative surgical site infection / wound abscess; Pelvic or intra-abdominal abscess formation (A collection of pus requiring drainage); Paralytic ileus or bowel obstruction (Intestinal complications during or after surgery); Stump leak or cecal fistula (Fluid escaping from where tissues were closed or connected)";"Incisional hernia (at port or laparotomy site); Adhesive small bowel obstruction (SBO); Chronic pelvic/abdominal pain or stump appendicitis (rare)"
Open Appendectomy;General Surgery & Gastrointestinal;"Intraoperative hemorrhage (mesoappendix vessel injury); Accidental cecal or ileal serosal injury / bowel perforation; Anesthetic complications (airway compromise, anaphylaxis)";"Postoperative surgical site infection / wound abscess; Pelvic or intra-abdominal abscess formation (A collection of pus requiring drainage); Paralytic ileus or bowel obstruction (Intestinal complications during or after surgery); Stump leak or cecal fistula (Fluid escaping from where tissues were closed or connected)";"Incisional hernia (at port or laparotomy site); Adhesive small bowel obstruction (SBO); Chronic pelvic/abdominal pain or stump appendicitis (rare)"
Cholecystectomy;General Surgery & Gastrointestinal;"Major bile duct injury (common bile duct transection / stricture); Cystic artery injury or intraoperative hemorrhage (Excessive or unexpected bleeding during the procedure); Bowel or duodenum inadvertent thermal injury (Intestinal complications during or after surgery)";"Bile leak / biloma formation; Post-cholecystectomy jaundice or retained choledocholithiasis (Surgical risk that may need intervention); Wound infection or port site hematoma (Collection of blood causing swelling); Acute pancreatitis (Potential complication during recovery)";"Post-cholecystectomy syndrome (chronic diarrhea, dyspepsia); Biliary stricture requiring ERCP or surgical reconstruction (Narrowing of a passage or tube in the body); Incisional hernia (Complications at the surgical cut site)"
Laparoscopic Cholecystectomy;General Surgery & Gastrointestinal;"Major bile duct injury (common bile duct transection / stricture); Cystic artery injury or intraoperative hemorrhage (Excessive or unexpected bleeding during the procedure); Bowel or duodenum inadvertent thermal injury (Intestinal complications during or after surgery); Pneumoperitoneum-related hemodynamic instability / gas embolism";"Bile leak / biloma formation; Post-cholecystectomy jaundice or retained choledocholithiasis (Surgical risk that may need intervention); Wound infection or port site hematoma (Collection of blood causing swelling); Acute pancreatitis (Potential complication during recovery)";"Post-cholecystectomy syndrome (chronic diarrhea, dyspepsia); Biliary stricture requiring ERCP or surgical reconstruction (Narrowing of a passage or tube in the body); Incisional hernia (Complications at the surgical cut site)"
Open Cholecystectomy;General Surgery & Gastrointestinal;"Major bile duct injury (common bile duct transection / stricture); Cystic artery injury or intraoperative hemorrhage (Excessive or unexpected bleeding during the procedure); Bowel or duodenum inadvertent thermal injury (Intestinal complications during or after surgery)";"Bile leak / biloma formation; Post-cholecystectomy jaundice or retained choledocholithiasis (Surgical risk that may need intervention); Wound infection or port site hematoma (Collection of blood causing swelling); Acute pancreatitis (Potential complication during recovery)";"Post-cholecystectomy syndrome (chronic diarrhea, dyspepsia); Biliary stricture requiring ERCP or surgical reconstruction (Narrowing of a passage or tube in the body); Incisional hernia (Complications at the surgical cut site)"
Subtotal Cholecystectomy;General Surgery & Gastrointestinal;"Major bile duct injury (common bile duct transection / stricture); Cystic artery injury or intraoperative hemorrhage (Excessive or unexpected bleeding during the procedure); Bowel or duodenum inadvertent thermal injury (Intestinal complications during or after surgery)";"Bile leak / biloma formation; Post-cholecystectomy jaundice or retained choledocholithiasis (Surgical risk that may need intervention); Wound infection or port site hematoma (Collection of blood causing swelling); Acute pancreatitis (Potential complication during recovery)";"Post-cholecystectomy syndrome (chronic diarrhea, dyspepsia); Biliary stricture requiring ERCP or surgical reconstruction (Narrowing of a passage or tube in the body); Incisional hernia (Complications at the surgical cut site)"
Choledochotomy;General Surgery & Gastrointestinal;"Major bile duct injury (common bile duct transection / stricture); Cystic artery injury or intraoperative hemorrhage (Excessive or unexpected bleeding during the procedure); Bowel or duodenum inadvertent thermal injury (Intestinal complications during or after surgery)";"Bile leak / biloma formation; Post-cholecystectomy jaundice or retained choledocholithiasis (Surgical risk that may need intervention); Wound infection or port site hematoma (Collection of blood causing swelling); Acute pancreatitis (Potential complication during recovery)";"Post-cholecystectomy syndrome (chronic diarrhea, dyspepsia); Biliary stricture requiring ERCP or surgical reconstruction (Narrowing of a passage or tube in the body); Incisional hernia (Complications at the surgical cut site)"
Choledocholithotomy;General Surgery & Gastrointestinal;"Major bile duct injury (common bile duct transection / stricture); Cystic artery injury or intraoperative hemorrhage (Excessive or unexpected bleeding during the procedure); Bowel or duodenum inadvertent thermal injury (Intestinal complications during or after surgery)";"Bile leak / biloma formation; Post-cholecystectomy jaundice or retained choledocholithiasis (Surgical risk that may need intervention); Wound infection or port site hematoma (Collection of blood causing swelling); Acute pancreatitis (Potential complication during recovery)";"Post-cholecystectomy syndrome (chronic diarrhea, dyspepsia); Biliary stricture requiring ERCP or surgical reconstruction (Narrowing of a passage or tube in the body); Incisional hernia (Complications at the surgical cut site)"
Choledochoduodenostomy;General Surgery & Gastrointestinal;"Major bile duct injury (common bile duct transection / stricture); Cystic artery injury or intraoperative hemorrhage (Excessive or unexpected bleeding during the procedure); Bowel or duodenum inadvertent thermal injury (Intestinal complications during or after surgery)";"Bile leak / biloma formation; Post-cholecystectomy jaundice or retained choledocholithiasis (Surgical risk that may need intervention); Wound infection or port site hematoma (Collection of blood causing swelling); Acute pancreatitis (Potential complication during recovery)";"Post-cholecystectomy syndrome (chronic diarrhea, dyspepsia); Biliary stricture requiring ERCP or surgical reconstruction (Narrowing of a passage or tube in the body); Incisional hernia (Complications at the surgical cut site)"
Choledochojejunostomy;General Surgery & Gastrointestinal;"Major bile duct injury (common bile duct transection / stricture); Cystic artery injury or intraoperative hemorrhage (Excessive or unexpected bleeding during the procedure); Bowel or duodenum inadvertent thermal injury (Intestinal complications during or after surgery)";"Bile leak / biloma formation; Post-cholecystectomy jaundice or retained choledocholithiasis (Surgical risk that may need intervention); Wound infection or port site hematoma (Collection of blood causing swelling); Acute pancreatitis (Potential complication during recovery)";"Post-cholecystectomy syndrome (chronic diarrhea, dyspepsia); Biliary stricture requiring ERCP or surgical reconstruction (Narrowing of a passage or tube in the body); Incisional hernia (Complications at the surgical cut site)"
Roux-en-Y Choledochojejunostomy;General Surgery & Gastrointestinal;"Major bile duct injury (common bile duct transection / stricture); Cystic artery injury or intraoperative hemorrhage (Excessive or unexpected bleeding during the procedure); Bowel or duodenum inadvertent thermal injury (Intestinal complications during or after surgery)";"Bile leak / biloma formation; Post-cholecystectomy jaundice or retained choledocholithiasis (Surgical risk that may need intervention); Wound infection or port site hematoma (Collection of blood causing swelling); Acute pancreatitis (Potential complication during recovery)";"Post-cholecystectomy syndrome (chronic diarrhea, dyspepsia); Biliary stricture requiring ERCP or surgical reconstruction (Narrowing of a passage or tube in the body); Incisional hernia (Complications at the surgical cut site)"
Right Hepatectomy;General Surgery & Gastrointestinal;"Severe intraoperative hemorrhage (hepatic vein or portal vein injury); Air embolism via open hepatic veins (Vein injury or damage); Biliary transection / major duct disruption";"Postoperative liver failure / small-for-size syndrome; Bile leak or perihepatic abscess (A collection of pus requiring drainage); Coagulopathy and postoperative bleeding (Blood loss from the surgical site or incision); Pleural effusion or right lung atelectasis (Lung complications)";"Recurrence of primary hepatic tumor (Return of the original condition); Biliary stricture or persistent bile leak (Fluid escaping from where tissues were closed or connected); Post-resection portal hypertension (Healing-related issue)"
Left Hepatectomy;General Surgery & Gastrointestinal;"Severe intraoperative hemorrhage (hepatic vein or portal vein injury); Air embolism via open hepatic veins (Vein injury or damage); Biliary transection / major duct disruption";"Postoperative liver failure / small-for-size syndrome; Bile leak or perihepatic abscess (A collection of pus requiring drainage); Coagulopathy and postoperative bleeding (Blood loss from the surgical site or incision); Pleural effusion or right lung atelectasis (Lung complications)";"Recurrence of primary hepatic tumor (Return of the original condition); Biliary stricture or persistent bile leak (Fluid escaping from where tissues were closed or connected); Post-resection portal hypertension (Healing-related issue)"
Extended Right Hepatectomy;General Surgery & Gastrointestinal;"Severe intraoperative hemorrhage (hepatic vein or portal vein injury); Air embolism via open hepatic veins (Vein injury or damage); Biliary transection / major duct disruption";"Postoperative liver failure / small-for-size syndrome; Bile leak or perihepatic abscess (A collection of pus requiring drainage); Coagulopathy and postoperative bleeding (Blood loss from the surgical site or incision); Pleural effusion or right lung atelectasis (Lung complications)";"Recurrence of primary hepatic tumor (Return of the original condition); Biliary stricture or persistent bile leak (Fluid escaping from where tissues were closed or connected); Post-resection portal hypertension (Healing-related issue)"
Extended Left Hepatectomy;General Surgery & Gastrointestinal;"Severe intraoperative hemorrhage (hepatic vein or portal vein injury); Air embolism via open hepatic veins (Vein injury or damage); Biliary transection / major duct disruption";"Postoperative liver failure / small-for-size syndrome; Bile leak or perihepatic abscess (A collection of pus requiring drainage); Coagulopathy and postoperative bleeding (Blood loss from the surgical site or incision); Pleural effusion or right lung atelectasis (Lung complications)";"Recurrence of primary hepatic tumor (Return of the original condition); Biliary stricture or persistent bile leak (Fluid escaping from where tissues were closed or connected); Post-resection portal hypertension (Healing-related issue)"
Segmentectomy (Hepatic);General Surgery & Gastrointestinal;"Severe intraoperative hemorrhage (hepatic vein or portal vein injury); Air embolism via open hepatic veins (Vein injury or damage); Biliary transection / major duct disruption";"Postoperative liver failure / small-for-size syndrome; Bile leak or perihepatic abscess (A collection of pus requiring drainage); Coagulopathy and postoperative bleeding (Blood loss from the surgical site or incision); Pleural effusion or right lung atelectasis (Lung complications)";"Recurrence of primary hepatic tumor (Return of the original condition); Biliary stricture or persistent bile leak (Fluid escaping from where tissues were closed or connected); Post-resection portal hypertension (Healing-related issue)"
Hepatic Wedge Resection;General Surgery & Gastrointestinal;"Severe intraoperative hemorrhage (hepatic vein or portal vein injury); Air embolism via open hepatic veins (Vein injury or damage); Biliary transection / major duct disruption";"Postoperative liver failure / small-for-size syndrome; Bile leak or perihepatic abscess (A collection of pus requiring drainage); Coagulopathy and postoperative bleeding (Blood loss from the surgical site or incision); Pleural effusion or right lung atelectasis (Lung complications)";"Recurrence of primary hepatic tumor (Return of the original condition); Biliary stricture or persistent bile leak (Fluid escaping from where tissues were closed or connected); Post-resection portal hypertension (Healing-related issue)"
Distal Pancreatectomy;General Surgery & Gastrointestinal;"Massive hemorrhage (portal vein, superior mesenteric artery/vein injury); Splenic vein/artery laceration; Hemodynamic collapse during dissection (Potential complication during recovery)";"Postoperative pancreatic fistula (POPF); Delayed gastric emptying (DGE); Post-pancreatectomy hemorrhage (PPH); Abdominal abscess or sepsis (A collection of pus requiring drainage)";"Exocrine pancreatic insufficiency (steatorrhea / malabsorption); Endocrine insufficiency (brittle pancreatogenic diabetes); Marginal ulceration or anastomotic stricture (Narrowing of a passage or tube in the body)"
Total Pancreatectomy;General Surgery & Gastrointestinal;"Massive hemorrhage (portal vein, superior mesenteric artery/vein injury); Splenic vein/artery laceration; Hemodynamic collapse during dissection (Potential complication during recovery)";"Postoperative pancreatic fistula (POPF); Delayed gastric emptying (DGE); Post-pancreatectomy hemorrhage (PPH); Abdominal abscess or sepsis (A collection of pus requiring drainage)";"Exocrine pancreatic insufficiency (steatorrhea / malabsorption); Endocrine insufficiency (brittle pancreatogenic diabetes); Marginal ulceration or anastomotic stricture (Narrowing of a passage or tube in the body)"
Pancreaticoduodenectomy (Whipple Procedure);General Surgery & Gastrointestinal;"Massive hemorrhage (portal vein, superior mesenteric artery/vein injury); Splenic vein/artery laceration; Hemodynamic collapse during dissection (Potential complication during recovery)";"Postoperative pancreatic fistula (POPF); Delayed gastric emptying (DGE); Post-pancreatectomy hemorrhage (PPH); Abdominal abscess or sepsis (A collection of pus requiring drainage)";"Exocrine pancreatic insufficiency (steatorrhea / malabsorption); Endocrine insufficiency (brittle pancreatogenic diabetes); Marginal ulceration or anastomotic stricture (Narrowing of a passage or tube in the body)"
